iter	Passed	Remaining
0	5	5714
1	11	5592
2	14	4966
3	16	4230
4	22	4415
5	29	4965
6	33	4798
7	36	4547
8	40	4410
9	45	4532
10	49	4435
11	58	4835
12	60	4604
13	62	4428
14	68	4525
15	74	4610
16	77	4462
17	80	4402
18	88	4566
19	97	4760
20	102	4794
21	110	4909
22	118	5019
23	125	5102
24	133	5205
25	137	5134
26	141	5102
27	147	5107
28	153	5146
29	158	5116
30	160	5015
31	167	5055
32	172	5043
33	177	5039
34	182	5042
35	184	4938
36	188	4900
37	192	4885
38	200	4934
39	205	4941
40	211	4944
41	215	4925
42	219	4888
43	226	4913
44	230	4882
45	239	4970
46	243	4940
47	253	5034
48	257	5002
49	261	4966
50	268	4998
51	273	4985
52	280	5004
53	286	5025
54	293	5041
55	298	5028
56	302	5011
57	306	4981
58	313	5007
59	319	5012
60	326	5028
61	332	5029
62	336	5011
63	343	5021
64	351	5049
65	359	5090
66	362	5052
67	368	5054
68	374	5059
69	377	5013
70	382	5003
71	388	5002
72	395	5028
73	401	5021
74	405	4998
75	407	4955
76	412	4944
77	418	4951
78	422	4930
79	426	4901
80	430	4885
81	439	4918
82	444	4908
83	449	4900
84	451	4861
85	456	4846
86	463	4866
87	466	4838
88	470	4811
89	473	4791
90	478	4784
91	484	4780
92	505	4934
93	519	5003
94	531	5065
95	535	5047
96	539	5022
97	556	5121
98	560	5104
99	568	5118
100	575	5119
101	581	5122
102	586	5111
103	589	5079
104	593	5060
105	599	5058
106	603	5034
107	607	5020
108	612	5007
109	615	4983
110	618	4956
111	622	4932
112	627	4923
113	631	4908
114	636	4898
115	639	4871
116	641	4844
117	651	4872
118	661	4897
119	666	4885
120	675	4905
121	679	4888
122	685	4884
123	689	4869
124	693	4854
125	697	4838
126	702	4830
127	705	4809
128	709	4790
129	712	4769
130	722	4795
131	726	4775
132	730	4759
133	733	4742
134	736	4718
135	738	4691
136	740	4664
137	742	4638
138	744	4612
139	746	4585
140	748	4559
141	750	4533
142	752	4506
143	753	4481
144	755	4455
145	757	4431
146	759	4408
147	761	4385
148	763	4362
149	765	4339
150	767	4317
151	769	4294
152	772	4273
153	773	4250
154	775	4227
155	777	4205
156	779	4183
157	780	4161
158	782	4139
159	784	4118
160	786	4097
161	788	4076
162	789	4055
163	791	4035
164	793	4015
165	795	3996
166	797	3976
167	798	3954
168	800	3934
169	802	3916
170	803	3896
171	805	3878
172	807	3859
173	809	3841
174	810	3822
175	812	3803
176	813	3784
177	815	3766
178	817	3748
179	819	3731
180	820	3713
181	822	3695
182	824	3679
183	825	3662
184	827	3645
185	829	3628
186	830	3611
187	832	3595
188	834	3578
189	835	3561
190	837	3546
191	838	3530
192	840	3514
193	842	3499
194	844	3484
195	845	3469
196	847	3455
197	849	3441
198	851	3426
199	852	3411
200	854	3397
201	856	3382
202	858	3369
203	859	3354
204	861	3339
205	862	3325
206	864	3311
207	866	3297
208	867	3283
209	869	3270
210	871	3257
211	872	3244
212	874	3230
213	875	3217
214	877	3204
215	878	3189
216	880	3176
217	881	3163
218	883	3151
219	885	3138
220	886	3126
221	888	3113
222	890	3101
223	891	3089
224	893	3077
225	895	3065
226	896	3053
227	898	3041
228	899	3030
229	901	3018
230	903	3006
231	904	2995
232	906	2984
233	908	2973
234	910	2962
235	911	2951
236	913	2940
237	914	2929
238	916	2918
239	918	2907
240	919	2896
241	921	2886
242	923	2876
243	925	2866
244	926	2855
245	928	2844
246	930	2835
247	931	2824
248	933	2814
249	935	2805
250	936	2795
251	938	2785
252	940	2775
253	942	2766
254	943	2757
255	945	2747
256	947	2738
257	948	2728
258	950	2719
259	952	2710
260	954	2701
261	955	2692
262	957	2683
263	959	2674
264	961	2665
265	962	2656
266	964	2648
267	966	2639
268	967	2629
269	969	2620
270	971	2612
271	972	2603
272	974	2594
273	976	2586
274	977	2577
275	979	2569
276	980	2559
277	982	2551
278	984	2543
279	986	2535
280	987	2527
281	988	2517
282	990	2509
283	992	2501
284	993	2493
285	994	2483
286	996	2475
287	998	2467
288	999	2459
289	1001	2451
290	1003	2443
291	1004	2435
292	1006	2428
293	1008	2420
294	1009	2413
295	1011	2405
296	1013	2398
297	1014	2390
298	1016	2383
299	1018	2375
300	1020	2368
301	1021	2361
302	1023	2354
303	1025	2348
304	1027	2341
305	1029	2334
306	1031	2327
307	1032	2320
308	1034	2313
309	1036	2306
310	1037	2298
311	1039	2292
312	1041	2285
313	1042	2278
314	1044	2271
315	1046	2264
316	1047	2257
317	1049	2250
318	1051	2243
319	1052	2237
320	1054	2230
321	1055	2223
322	1057	2216
323	1059	2210
324	1061	2204
325	1062	2197
326	1064	2190
327	1066	2184
328	1067	2178
329	1069	2171
330	1071	2165
331	1073	2158
332	1074	2152
333	1076	2146
334	1078	2140
335	1080	2134
336	1081	2128
337	1083	2121
338	1084	2115
339	1086	2109
340	1088	2103
341	1090	2097
342	1091	2091
343	1093	2085
344	1095	2078
345	1096	2073
346	1098	2067
347	1100	2061
348	1101	2055
349	1103	2049
350	1105	2044
351	1107	2039
352	1109	2033
353	1110	2027
354	1112	2021
355	1114	2015
356	1115	2009
357	1117	2004
358	1119	1998
359	1120	1992
360	1122	1986
361	1123	1980
362	1125	1975
363	1127	1969
364	1128	1963
365	1130	1958
366	1132	1953
367	1134	1947
368	1135	1942
369	1137	1937
370	1139	1931
371	1141	1926
372	1142	1921
373	1144	1915
374	1146	1910
375	1148	1905
376	1149	1899
377	1151	1894
378	1152	1888
379	1154	1883
380	1156	1878
381	1157	1873
382	1159	1868
383	1161	1863
384	1163	1858
385	1165	1853
386	1166	1848
387	1168	1843
388	1170	1838
389	1172	1833
390	1173	1828
391	1175	1823
392	1177	1818
393	1178	1813
394	1180	1807
395	1181	1802
396	1183	1797
397	1185	1792
398	1186	1787
399	1188	1783
400	1190	1777
401	1191	1773
402	1193	1768
403	1195	1763
404	1197	1758
405	1198	1754
406	1200	1749
407	1202	1744
408	1203	1739
409	1205	1734
410	1207	1730
411	1208	1725
412	1210	1720
413	1212	1715
414	1213	1710
415	1215	1706
416	1217	1701
417	1218	1697
418	1220	1692
419	1222	1687
420	1223	1683
421	1225	1678
422	1227	1673
423	1228	1669
424	1230	1664
425	1232	1660
426	1234	1656
427	1235	1651
428	1237	1646
429	1238	1642
430	1240	1637
431	1242	1633
432	1244	1629
433	1246	1625
434	1247	1620
435	1249	1615
436	1250	1611
437	1252	1607
438	1254	1602
439	1255	1598
440	1257	1593
441	1259	1589
442	1260	1585
443	1262	1581
444	1264	1576
445	1265	1572
446	1267	1568
447	1269	1563
448	1270	1559
449	1272	1555
450	1274	1551
451	1276	1547
452	1277	1542
453	1279	1538
454	1281	1534
455	1283	1530
456	1284	1526
457	1286	1522
458	1288	1518
459	1290	1514
460	1291	1510
461	1293	1506
462	1295	1502
463	1296	1498
464	1298	1494
465	1300	1490
466	1302	1486
467	1304	1482
468	1305	1478
469	1307	1474
470	1309	1470
471	1310	1466
472	1312	1462
473	1314	1458
474	1315	1454
475	1317	1450
476	1319	1446
477	1321	1442
478	1322	1438
479	1324	1434
480	1325	1430
481	1327	1426
482	1329	1422
483	1330	1418
484	1332	1414
485	1334	1411
486	1336	1407
487	1337	1403
488	1339	1399
489	1340	1395
490	1342	1391
491	1344	1388
492	1346	1384
493	1347	1380
494	1349	1376
495	1351	1373
496	1352	1369
497	1354	1365
498	1356	1361
499	1358	1358
500	1359	1354
501	1361	1350
502	1363	1347
503	1365	1343
504	1366	1339
505	1368	1336
506	1370	1332
507	1371	1328
508	1373	1324
509	1375	1321
510	1376	1317
511	1378	1313
512	1380	1310
513	1381	1306
514	1383	1303
515	1385	1299
516	1387	1295
517	1389	1292
518	1390	1289
519	1392	1285
520	1394	1282
521	1396	1278
522	1398	1275
523	1399	1271
524	1401	1267
525	1403	1264
526	1404	1260
527	1406	1257
528	1408	1254
529	1410	1250
530	1411	1246
531	1413	1243
532	1414	1239
533	1416	1236
534	1418	1232
535	1419	1229
536	1421	1225
537	1423	1222
538	1425	1218
539	1426	1215
540	1428	1212
541	1430	1208
542	1432	1205
543	1434	1202
544	1435	1198
545	1437	1195
546	1439	1191
547	1440	1188
548	1442	1185
549	1444	1181
550	1445	1178
551	1447	1174
552	1449	1171
553	1450	1167
554	1452	1164
555	1454	1161
556	1456	1158
557	1457	1154
558	1459	1151
559	1461	1148
560	1462	1144
561	1464	1141
562	1466	1138
563	1468	1134
564	1469	1131
565	1471	1128
566	1473	1125
567	1475	1122
568	1477	1118
569	1478	1115
570	1480	1112
571	1482	1109
572	1484	1105
573	1485	1102
574	1487	1099
575	1489	1096
576	1491	1093
577	1493	1090
578	1495	1087
579	1497	1084
580	1498	1080
581	1500	1077
582	1502	1074
583	1504	1071
584	1505	1068
585	1507	1064
586	1509	1061
587	1511	1058
588	1512	1055
589	1514	1052
590	1516	1049
591	1517	1046
592	1519	1043
593	1521	1039
594	1523	1036
595	1524	1033
596	1526	1030
597	1528	1027
598	1530	1024
599	1531	1021
600	1533	1018
601	1535	1015
602	1537	1011
603	1538	1008
604	1540	1005
605	1542	1002
606	1543	999
607	1545	996
608	1547	993
609	1549	990
610	1550	987
611	1552	984
612	1554	981
613	1555	978
614	1557	975
615	1559	972
616	1561	969
617	1562	966
618	1564	963
619	1566	960
620	1568	957
621	1569	954
622	1571	951
623	1573	948
624	1575	945
625	1576	942
626	1578	939
627	1580	936
628	1581	933
629	1583	930
630	1585	927
631	1587	924
632	1589	921
633	1591	918
634	1592	915
635	1594	912
636	1596	909
637	1597	906
638	1599	903
639	1601	900
640	1603	898
641	1605	895
642	1606	892
643	1608	889
644	1610	886
645	1612	883
646	1614	880
647	1616	878
648	1618	875
649	1619	872
650	1621	869
651	1623	866
652	1625	863
653	1626	860
654	1628	857
655	1630	854
656	1632	852
657	1633	849
658	1635	846
659	1636	843
660	1638	840
661	1641	837
662	1642	834
663	1644	832
664	1645	829
665	1647	826
666	1649	823
667	1651	820
668	1652	817
669	1654	814
670	1656	812
671	1657	809
672	1659	806
673	1661	803
674	1663	800
675	1664	797
676	1666	795
677	1668	792
678	1670	789
679	1671	786
680	1673	783
681	1675	781
682	1676	778
683	1678	775
684	1679	772
685	1681	769
686	1683	767
687	1685	764
688	1687	761
689	1688	758
690	1690	755
691	1692	753
692	1693	750
693	1695	747
694	1697	744
695	1699	742
696	1700	739
697	1702	736
698	1704	733
699	1705	731
700	1707	728
701	1709	725
702	1710	722
703	1712	720
704	1714	717
705	1715	714
706	1717	711
707	1719	709
708	1720	706
709	1722	703
710	1724	700
711	1726	698
712	1728	695
713	1729	692
714	1731	690
715	1733	687
716	1734	684
717	1736	681
718	1737	679
719	1739	676
720	1741	673
721	1743	671
722	1744	668
723	1746	665
724	1748	663
725	1749	660
726	1751	657
727	1753	655
728	1755	652
729	1756	649
730	1758	647
731	1760	644
732	1762	641
733	1763	639
734	1765	636
735	1767	634
736	1769	631
737	1770	628
738	1772	626
739	1774	623
740	1775	620
741	1777	618
742	1779	615
743	1781	613
744	1783	610
745	1785	607
746	1787	605
747	1788	602
748	1790	600
749	1792	597
750	1793	594
751	1795	592
752	1797	589
753	1799	587
754	1800	584
755	1802	581
756	1804	579
757	1805	576
758	1807	573
759	1809	571
760	1811	568
761	1813	566
762	1814	563
763	1816	561
764	1818	558
765	1819	555
766	1821	553
767	1823	550
768	1824	548
769	1826	545
770	1828	543
771	1830	540
772	1831	537
773	1833	535
774	1834	532
775	1836	530
776	1838	527
777	1840	525
778	1841	522
779	1843	520
780	1845	517
781	1847	514
782	1848	512
783	1850	509
784	1852	507
785	1854	504
786	1855	502
787	1857	499
788	1859	497
789	1860	494
790	1862	492
791	1864	489
792	1866	487
793	1867	484
794	1869	482
795	1871	479
796	1872	477
797	1874	474
798	1876	471
799	1877	469
800	1879	466
801	1881	464
802	1882	461
803	1884	459
804	1886	456
805	1888	454
806	1890	452
807	1891	449
808	1893	447
809	1895	444
810	1896	442
811	1898	439
812	1900	437
813	1902	434
814	1903	432
815	1905	429
816	1907	427
817	1909	424
818	1911	422
819	1912	419
820	1914	417
821	1916	415
822	1918	412
823	1920	410
824	1921	407
825	1923	405
826	1925	402
827	1927	400
828	1929	398
829	1931	395
830	1933	393
831	1934	390
832	1937	388
833	1938	385
834	1940	383
835	1943	381
836	1944	378
837	1946	376
838	1948	373
839	1949	371
840	1951	369
841	1953	366
842	1955	364
843	1956	361
844	1958	359
845	1960	356
846	1961	354
847	1963	351
848	1965	349
849	1967	347
850	1968	344
851	1970	342
852	1972	339
853	1973	337
854	1975	335
855	1977	332
856	1978	330
857	1980	327
858	1982	325
859	1983	322
860	1985	320
861	1987	318
862	1988	315
863	1990	313
864	1992	310
865	1993	308
866	1995	306
867	1997	303
868	1998	301
869	2000	298
870	2002	296
871	2004	294
872	2006	291
873	2007	289
874	2009	287
875	2011	284
876	2013	282
877	2014	279
878	2016	277
879	2018	275
880	2019	272
881	2021	270
882	2023	268
883	2025	265
884	2026	263
885	2028	261
886	2030	258
887	2031	256
888	2033	253
889	2035	251
890	2036	249
891	2038	246
892	2040	244
893	2042	242
894	2043	239
895	2045	237
896	2047	235
897	2049	232
898	2050	230
899	2052	228
900	2054	225
901	2056	223
902	2058	221
903	2059	218
904	2061	216
905	2063	214
906	2065	211
907	2066	209
908	2068	207
909	2070	204
910	2071	202
911	2073	200
912	2075	197
913	2076	195
914	2078	193
915	2080	190
916	2081	188
917	2083	186
918	2085	183
919	2087	181
920	2088	179
921	2090	176
922	2092	174
923	2093	172
924	2095	169
925	2097	167
926	2098	165
927	2100	162
928	2102	160
929	2103	158
930	2105	156
931	2107	153
932	2108	151
933	2110	149
934	2112	146
935	2114	144
936	2115	142
937	2117	139
938	2119	137
939	2121	135
940	2122	133
941	2124	130
942	2126	128
943	2127	126
944	2129	123
945	2131	121
946	2133	119
947	2135	117
948	2136	114
949	2138	112
950	2140	110
951	2142	108
952	2143	105
953	2145	103
954	2147	101
955	2148	98
956	2150	96
957	2152	94
958	2153	92
959	2156	89
960	2157	87
961	2159	85
962	2161	83
963	2162	80
964	2164	78
965	2166	76
966	2167	73
967	2169	71
968	2171	69
969	2173	67
970	2175	64
971	2177	62
972	2179	60
973	2181	58
974	2183	55
975	2185	53
976	2186	51
977	2188	49
978	2189	46
979	2191	44
980	2192	42
981	2194	40
982	2196	37
983	2197	35
984	2199	33
985	2201	31
986	2202	29
