date,ABG SJ Equity,ADH SJ Equity,AEL SJ Equity,AFE SJ Equity,AFH SJ Equity,AFT SJ Equity,AGL SJ Equity,AIL SJ Equity,AIP SJ Equity,AMS SJ Equity,ANG SJ Equity,ANH SJ Equity,APN SJ Equity,ARI SJ Equity,ARL SJ Equity,ATT SJ Equity,AVI SJ Equity,BAT SJ Equity,BAW SJ Equity,BHG SJ Equity,BID SJ Equity,BLU SJ Equity,BTI SJ Equity,BTN SJ Equity,BVT SJ Equity,BYI SJ Equity,CFR SJ Equity,CLS SJ Equity,CML SJ Equity,COH SJ Equity,CPI SJ Equity,CSB SJ Equity,DCP SJ Equity,DRD SJ Equity,DSY SJ Equity,DTC SJ Equity,EMI SJ Equity,EQU SJ Equity,EXX SJ Equity,FBR SJ Equity,FFA SJ Equity,FFB SJ Equity,FSR SJ Equity,FTB SJ Equity,GFI SJ Equity,GLN SJ Equity,GND SJ Equity,GRT SJ Equity,HAR SJ Equity,HCI SJ Equity,HDC SJ Equity,HMN SJ Equity,HYP SJ Equity,IMP SJ Equity,INL SJ Equity,INP SJ Equity,ITE SJ Equity,JSE SJ Equity,KAP SJ Equity,KIO SJ Equity,KRO SJ Equity,KST SJ Equity,LHC SJ Equity,LTE SJ Equity,MCG SJ Equity,MKR SJ Equity,MNP SJ Equity,MRP SJ Equity,MSP SJ Equity,MTA SJ Equity,MTH SJ Equity,MTM SJ Equity,MTN SJ Equity,N91 SJ Equity,NED SJ Equity,NPH SJ Equity,NPN SJ Equity,NRP SJ Equity,NTC SJ Equity,NY1 SJ Equity,OCE SJ Equity,OMN SJ Equity,OMU SJ Equity,OUT SJ Equity,PAN SJ Equity,PIK SJ Equity,PPC SJ Equity,PPH SJ Equity,PRX SJ Equity,QLT SJ Equity,RBX SJ Equity,RCL SJ Equity,RDF SJ Equity,REM SJ Equity,RES SJ Equity,RLO SJ Equity,RNI SJ Equity,S32 SJ Equity,SAC SJ Equity,SAP SJ Equity,SBK SJ Equity,SHC SJ Equity,SHP SJ Equity,SLM SJ Equity,SNT SJ Equity,SOL SJ Equity,SPG SJ Equity,SPP SJ Equity,SRE SJ Equity,SSS SJ Equity,SSU SJ Equity,SSW SJ Equity,SUI SJ Equity,TBS SJ Equity,TCP SJ Equity,TFG SJ Equity,TGA SJ Equity,THA SJ Equity,TKG SJ Equity,TRU SJ Equity,TSG SJ Equity,TXT SJ Equity,VKE SJ Equity,VOD SJ Equity,WBO SJ Equity,WHL SJ Equity
2013-01-02,16549.0,604.1,2094.0,7995.0,,775.0,27613.0,,5400.0,46212.0,27009.0,,17176.0,19700.0,10599.0,,5970.0,2544.11,7294.17,,,900.0,43149.0,1593.12,6908.88,,67900.0,6595.0,4100.0,1173.88,18720.0,15300.0,,695.0,6068.29,4977.0,1420.0,,17440.0,7051.0,1369.22,699.76,3127.0,649.0,9326.72,,1145.5,2480.0,7564.0,9138.99,11510.0,,7251.0,16980.0,3996.9,4453.21,604.8,7825.0,328.46,59300.0,,,3181.98,,,,9432.0,14000.0,1101.0,3250.0,,2240.0,17699.0,,18975.0,3794.82,36447.36,,1975.0,,6771.14,9594.73,,1077.2,235.0,4490.0,2341.66,,,,1699.0,1400.52,920.0,11380.44,4168.4,7600.0,,,358.51,3160.0,11943.0,3468.0,20493.0,4545.0,18990.0,36800.0,1656.11,12900.0,,,,,7931.18,30619.58,780.0,12352.47,,,1693.0,11023.0,1899.74,,1700.0,12620.0,15550.0,6679.23
2013-01-03,16600.0,585.55,2101.0,8190.0,,765.0,27521.43,,5450.0,46450.0,26905.0,,17585.0,19750.0,10600.0,,5989.0,2542.74,7430.47,,,870.0,43343.0,1632.94,6978.29,,69550.0,6625.0,4115.0,1166.4,18750.0,15300.0,,695.0,6036.16,5027.0,1395.0,,17692.0,7049.0,1373.91,699.76,3140.0,649.0,9339.0,,1181.52,2470.0,7444.0,9138.99,11484.0,,7374.0,16700.0,4035.5,4483.1,604.8,7801.0,354.42,60815.0,,,3200.59,,,,9580.0,14412.0,1101.0,3200.0,,2249.0,17675.0,,18947.0,3890.67,36793.31,,1970.0,,6693.54,9751.86,,1085.8,230.0,4579.0,2301.74,,,,1699.0,1424.26,924.0,11500.72,4241.85,7600.0,,,362.5,3220.0,11975.0,3427.0,20637.0,4549.0,18990.0,37026.0,1683.5,13100.0,,,,,7947.91,31062.82,780.0,12563.61,,,1714.0,11225.0,1915.84,,1734.0,12920.0,15800.0,6741.12
2013-01-04,16530.0,585.55,2179.0,8440.0,,702.0,27524.41,,5550.0,46424.0,26000.0,,17507.0,19671.0,10600.0,,6020.0,2566.79,7500.71,,,860.0,44099.0,1627.97,6909.2,,69970.0,6700.0,4113.0,1170.14,18750.0,15400.0,,669.0,5993.32,5034.0,1438.0,,17680.0,7085.0,1369.22,704.62,3157.0,649.0,9052.33,,1173.6,2510.0,7150.0,9186.1,11513.0,,7525.0,16500.0,4028.18,4484.6,604.8,7840.0,340.44,60700.0,,,3196.86,,,,9633.0,14406.0,1101.0,3200.0,,2258.0,18045.0,,18832.0,3935.59,36447.36,,2000.0,,6692.57,10064.73,,1099.96,230.0,4619.0,2319.04,,,,1699.0,1470.79,920.0,11770.81,4373.89,7700.0,,,367.48,3273.0,11993.0,3417.0,20550.0,4598.0,18597.0,37017.0,1693.28,13194.0,,,,,8031.58,30582.49,760.0,12713.41,,,1710.0,11447.0,1915.84,,1730.0,12960.0,16170.0,6878.22
2013-01-07,16335.0,590.43,2105.0,8585.0,,750.0,27546.31,,5525.0,46500.0,25830.0,,17255.0,19650.0,10632.0,,6020.0,2604.59,7341.84,,,879.0,44330.0,1642.9,6843.22,,68720.0,6690.0,4130.0,1170.14,18970.0,15300.0,,686.0,5904.73,4991.0,1464.0,,17673.0,6950.0,1373.91,704.62,3211.0,648.0,9107.56,,1177.92,2527.0,6898.0,9228.5,11660.0,,7520.0,16285.0,4048.8,4522.7,614.56,7794.0,335.45,60550.0,,,3277.81,,,,9620.0,14440.0,1101.0,3159.0,,2300.0,17831.0,,19025.0,3869.7,36315.07,,1990.0,,6460.72,10143.29,,1107.54,232.0,4546.0,2206.61,,,,1680.0,1500.22,943.0,11773.63,4373.89,7694.0,,,376.44,3250.0,11960.0,3400.0,20561.0,4609.0,18850.0,37086.0,1738.28,13200.0,,,,,7993.09,29720.12,775.0,12462.86,,,1710.0,11493.0,1952.06,,1720.0,12775.0,16250.0,6781.11
2013-01-08,16600.0,608.98,2135.0,8644.0,,744.0,27979.29,,5563.0,46500.0,25100.0,,17273.0,19706.0,10719.0,,6021.0,2594.28,7189.65,,,880.0,43995.0,1642.9,6773.5,,69030.0,6588.0,4134.0,1140.24,19453.0,15407.0,,690.0,5929.07,4980.0,1465.0,,17758.0,7021.0,1396.42,704.62,3216.0,648.0,8931.35,,1185.12,2555.0,6682.0,9327.42,11850.0,,7630.0,16600.0,4046.14,4521.95,614.56,7830.0,347.43,61000.0,,,3298.28,,,,9608.0,14369.0,1101.0,3150.0,,2262.0,18048.0,,18977.0,3793.83,36069.66,,2000.0,,6402.51,10137.04,,1102.99,237.0,4565.0,2221.91,,,,1680.0,1500.22,948.0,11609.04,4417.63,7800.0,,,375.44,3225.0,11967.0,3396.0,20399.0,4631.0,19000.0,37270.0,1761.76,12984.0,,,,,8010.66,29459.56,765.0,12419.93,,,1712.0,11425.0,1991.5,,1749.0,12676.0,16340.0,6842.04
2013-01-09,16744.0,601.17,2135.0,8624.0,,738.0,27933.5,,5558.0,47700.0,24950.0,,17350.0,19152.0,10660.0,,5920.0,2641.7,7049.17,,,898.0,44048.0,1622.99,6784.7,,71620.0,6581.0,4100.0,1137.99,19850.0,15410.0,,694.0,6041.03,4983.0,1478.0,,17500.0,7090.0,1394.55,704.62,3198.0,648.0,9010.25,,1188.72,2521.0,6624.0,9327.42,11900.0,,7599.0,17124.0,4041.48,4489.83,614.56,7800.0,339.44,60000.0,,,3341.08,,,,9622.0,14280.0,1101.0,3200.0,,2260.0,18100.0,,19024.0,3797.82,35752.81,,1991.0,,6402.51,10130.78,,1107.54,245.0,4603.0,2228.57,,,,1696.0,1500.22,940.0,11843.26,4398.65,7860.0,,,366.48,3210.0,11870.0,3390.0,20100.0,4721.0,19000.0,37400.0,1791.11,12801.0,,,,,8032.41,29118.32,775.0,12582.88,,,1719.0,11600.0,1952.86,,1750.0,12300.0,16361.0,6831.57
2013-01-10,16600.0,600.19,2125.0,8440.0,,727.0,28583.47,,5530.0,50050.0,24740.0,,17200.0,19490.0,10714.0,,5750.0,2590.16,7166.23,,,899.0,44023.0,1622.99,6831.39,,71810.0,6591.0,4055.0,1156.68,20000.0,15490.0,,694.0,5991.37,4950.0,1470.0,,17505.0,7130.0,1402.05,728.92,3164.0,648.0,9095.29,,1190.17,2500.0,6655.0,9318.0,11800.0,,7450.0,17500.0,4058.78,4530.17,619.44,7600.0,337.45,59639.0,,,3209.89,,,,9700.0,14070.0,1101.0,3183.0,,2269.0,17662.0,,19179.0,3813.79,35855.34,,1941.0,,6402.51,10050.13,,1139.4,263.0,4585.0,2195.31,,,,1700.0,1500.22,935.0,11767.3,4351.61,7889.0,,,363.49,3148.0,11853.0,3359.0,20010.0,4684.0,18700.0,37000.0,1770.56,12710.0,,,,,8075.92,29023.74,785.0,12500.53,,,1707.0,11451.0,1935.96,,1750.0,12173.0,16188.0,6839.19
2013-01-11,16699.0,601.17,2122.0,8614.0,,750.0,28486.92,,5560.0,50010.0,25288.0,,17041.0,19232.0,10676.0,,5740.0,2611.46,6922.9,,,890.0,44338.0,1632.94,6720.9,,72750.0,6500.0,4095.0,1140.24,20190.0,15327.0,,700.0,6023.5,4947.0,1448.0,,17270.0,7188.0,1402.05,728.92,3175.0,650.0,9204.87,,1195.93,2511.0,6640.0,9327.42,11890.0,,7446.0,17250.0,4145.28,4646.73,614.56,7700.0,324.47,59100.0,,,3227.57,,,,9740.0,13589.0,1101.0,3191.0,,2297.0,17586.0,,19567.0,3693.99,35648.96,,1950.0,,6499.52,10053.6,,1136.87,271.0,4560.0,2146.74,,,,1674.0,1495.48,938.0,11781.36,4357.39,7755.0,,,360.51,3151.0,11750.0,3410.0,19985.0,4675.0,18800.0,37051.0,1782.3,12680.0,,,,,8073.41,29019.1,784.0,12107.18,,,1680.0,11170.0,1931.94,,1749.0,12200.0,16400.0,6663.04
2013-01-14,16800.0,600.19,2200.0,8685.0,,740.0,28468.01,,5635.0,49101.0,25539.0,,16729.0,19332.0,10410.0,,5730.0,2601.15,6982.27,,,890.0,44135.0,1632.94,6723.7,,72950.0,6200.0,4138.0,1158.93,20390.0,14677.0,,708.0,6082.89,4954.0,1460.0,,17300.0,7200.0,1402.05,699.76,3170.0,650.0,9292.53,,1229.07,2520.0,6650.0,9233.21,11828.0,,7438.0,16970.0,4242.43,4712.49,595.05,7845.0,337.45,60000.0,,,3116.85,,,,9765.0,13325.0,1101.0,3200.0,,2282.0,17576.0,,19600.0,3691.99,35354.6,,1976.0,,6499.52,9969.48,,1160.64,260.0,4600.0,2178.67,,,,1675.0,1492.63,939.0,11746.19,4349.14,7524.0,,,371.46,3220.0,11915.0,3371.0,18800.0,4702.0,18912.0,37300.0,1741.22,12301.0,,,,,8115.24,28519.3,784.0,11496.56,,,1692.0,10800.0,1939.98,,1745.0,12134.0,16600.0,6317.42
2013-01-15,16500.0,598.24,2120.0,8397.0,,725.0,27411.94,,5500.0,48700.0,25743.0,,16397.0,18855.0,10325.0,,5330.0,2487.76,7015.72,,,890.0,44616.0,1632.94,6651.81,,74080.0,5975.0,4060.0,1132.76,20080.0,14200.0,,709.0,6017.66,4950.0,1470.0,,17050.0,7100.0,1402.05,680.33,3089.0,650.0,9379.32,,1230.51,2545.0,6600.0,9280.32,11500.0,,7380.0,17250.0,4201.17,4724.44,595.05,7749.0,337.45,58659.0,,,2994.97,,,,9825.0,12625.0,1101.0,3200.0,,2292.0,17278.0,,19199.0,3659.04,35844.76,,1945.0,,6499.52,9774.8,,1138.9,254.0,4500.0,2174.02,,,,1660.0,1492.63,935.0,11561.21,4373.89,7480.0,,,364.49,3203.0,11850.0,3415.0,18280.0,4606.0,18900.0,36999.0,1715.78,12030.0,,,,,7939.55,28198.46,780.0,10898.21,,,1695.0,10498.0,1904.57,,1745.0,12142.0,16610.0,6045.11
